Column1,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
996,997,29,Male,Sandals,Footwear,91,Delaware,Maroon,Summer,4.9,Yes,Standard,Yes,Yes,32,Bank Transfer,Quarterly
997,998,64,Male,Pants,Clothing,30,Kentucky,Cyan,Spring,3.6,Yes,Express,Yes,Yes,31,Cash,Fortnightly
998,999,51,Male,Shoes,Footwear,90,Connecticut,White,Spring,3.8,Yes,Next Day Air,Yes,Yes,48,Bank Transfer,Bi-Weekly
999,1000,50,Male,Socks,Clothing,28,New Mexico,Brown,Spring,2.9,Yes,Standard,Yes,Yes,23,Debit Card,Monthly
1000,1001,43,Male,Socks,Clothing,46,Georgia,Red,Winter,3.9,Yes,Express,Yes,Yes,1,Bank Transfer,Bi-Weekly
1001,1002,61,Male,Dress,Clothing,60,Washington,Orange,Fall,3.6,Yes,Standard,Yes,Yes,4,Debit Card,Fortnightly
1002,1003,55,Male,Shoes,Footwear,59,North Dakota,White,Spring,3.5,Yes,Store Pickup,Yes,Yes,3,Bank Transfer,Bi-Weekly
1003,1004,56,Male,Hat,Accessories,68,Ohio,Green,Fall,4,Yes,Store Pickup,Yes,Yes,3,Cash,Bi-Weekly
1004,1005,33,Male,Backpack,Accessories,79,Tennessee,Black,Summer,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Annually
1005,1006,43,Male,Backpack,Accessories,94,New York,Gold,Winter,3.9,Yes,Store Pickup,Yes,Yes,5,Debit Card,Bi-Weekly
1006,1007,21,Male,Pants,Clothing,83,Michigan,Lavender,Summer,4.5,Yes,Next Day Air,Yes,Yes,50,Venmo,Quarterly
1007,1008,58,Male,Gloves,Accessories,62,Georgia,Turquoise,Spring,4.8,Yes,Standard,Yes,Yes,2,Credit Card,Annually
1008,1009,41,Male,Scarf,Accessories,85,New Mexico,Pink,Spring,2.6,Yes,Store Pickup,Yes,Yes,29,PayPal,Annually
1009,1010,39,Male,Hoodie,Clothing,30,Louisiana,Silver,Summer,3.1,Yes,Express,Yes,Yes,11,Venmo,Annually
1010,1011,54,Male,Jeans,Clothing,24,South Dakota,Gray,Spring,4.7,Yes,2-Day Shipping,Yes,Yes,37,Credit Card,Fortnightly
1011,1012,43,Male,Backpack,Accessories,25,Montana,Indigo,Spring,2.9,Yes,Next Day Air,Yes,Yes,32,Debit Card,Fortnightly
1012,1013,28,Male,Sandals,Footwear,37,New Mexico,Teal,Summer,3.8,Yes,Express,Yes,Yes,27,Credit Card,Annually
1013,1014,59,Male,Belt,Accessories,69,South Carolina,Green,Summer,3.8,Yes,2-Day Shipping,Yes,Yes,31,Venmo,Bi-Weekly
1014,1015,28,Male,Shoes,Footwear,97,Ohio,Violet,Summer,3,Yes,Standard,Yes,Yes,36,Debit Card,Fortnightly
1015,1016,68,Male,Gloves,Accessories,24,North Carolina,Cyan,Summer,4.1,Yes,Standard,Yes,Yes,34,Cash,Weekly
1016,1017,20,Male,Belt,Accessories,30,Idaho,Blue,Summer,3.4,Yes,Express,Yes,Yes,15,Bank Transfer,Every 3 Months
1017,1018,21,Male,Jacket,Outerwear,53,Oklahoma,Orange,Fall,2.5,Yes,Express,Yes,Yes,14,Credit Card,Annually
1018,1019,50,Male,Dress,Clothing,70,Georgia,Charcoal,Spring,4.9,Yes,Next Day Air,Yes,Yes,46,Cash,Weekly
1019,1020,32,Male,Shirt,Clothing,76,Kentucky,Beige,Winter,2.8,Yes,Standard,Yes,Yes,33,Venmo,Bi-Weekly
1020,1021,24,Male,Scarf,Accessories,95,Delaware,Black,Fall,4.5,Yes,Express,Yes,Yes,41,Debit Card,Annually
1021,1022,55,Male,Coat,Outerwear,51,Massachusetts,Lavender,Winter,4.9,Yes,2-Day Shipping,Yes,Yes,39,PayPal,Weekly
1022,1023,61,Male,Handbag,Accessories,41,Nebraska,Lavender,Winter,4.9,Yes,Store Pickup,Yes,Yes,7,Cash,Annually
1023,1024,61,Male,Sunglasses,Accessories,71,Maine,Turquoise,Winter,3.5,Yes,Free Shipping,Yes,Yes,29,Bank Transfer,Every 3 Months
1024,1025,28,Male,T-shirt,Clothing,66,Pennsylvania,Purple,Summer,3.5,Yes,Free Shipping,Yes,Yes,18,Venmo,Quarterly
1025,1026,60,Male,Shirt,Clothing,84,Nebraska,Olive,Winter,4.9,Yes,Free Shipping,Yes,Yes,15,Credit Card,Annually
1026,1027,49,Male,Handbag,Accessories,95,Virginia,Turquoise,Winter,3,Yes,Express,Yes,Yes,39,PayPal,Bi-Weekly
1027,1028,33,Male,Jewelry,Accessories,90,Ohio,Teal,Summer,2.8,Yes,Next Day Air,Yes,Yes,11,Cash,Monthly
1028,1029,45,Male,Hoodie,Clothing,36,Nebraska,Lavender,Summer,3.7,Yes,Standard,Yes,Yes,4,Cash,Fortnightly
1029,1030,29,Male,Gloves,Accessories,22,Ohio,Purple,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,33,Venmo,Bi-Weekly
1030,1031,58,Male,Coat,Outerwear,89,Kentucky,Blue,Winter,3.3,Yes,Next Day Air,Yes,Yes,37,Debit Card,Quarterly
1031,1032,22,Male,Sandals,Footwear,50,Tennessee,Teal,Spring,3.4,Yes,Free Shipping,Yes,Yes,32,Cash,Quarterly
1032,1033,55,Male,Boots,Footwear,36,Maine,Lavender,Fall,4,Yes,Free Shipping,Yes,Yes,44,Credit Card,Quarterly
1033,1034,19,Male,Pants,Clothing,52,Montana,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,41,Bank Transfer,Quarterly
1034,1035,68,Male,Socks,Clothing,29,Maryland,Olive,Fall,4.2,Yes,Next Day Air,Yes,Yes,44,Bank Transfer,Weekly
1035,1036,61,Male,Blouse,Clothing,89,Georgia,Brown,Fall,2.8,Yes,Express,Yes,Yes,32,Venmo,Annually
1036,1037,68,Male,Handbag,Accessories,47,Hawaii,Yellow,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,13,Bank Transfer,Monthly
1037,1038,52,Male,Jewelry,Accessories,25,Rhode Island,Brown,Spring,3.4,Yes,Standard,Yes,Yes,48,Debit Card,Quarterly
1038,1039,41,Male,Pants,Clothing,74,Nebraska,Cyan,Fall,3,Yes,Express,Yes,Yes,3,Bank Transfer,Weekly
1039,1040,29,Male,Belt,Accessories,46,Michigan,Magenta,Fall,4.8,Yes,Standard,Yes,Yes,39,Venmo,Monthly
1040,1041,68,Male,Jeans,Clothing,22,North Carolina,Magenta,Fall,4,Yes,Next Day Air,Yes,Yes,7,Cash,Fortnightly
1041,1042,36,Male,Shirt,Clothing,25,Minnesota,Orange,Summer,4.9,Yes,Next Day Air,Yes,Yes,11,Cash,Fortnightly
1042,1043,55,Male,Belt,Accessories,80,Maryland,Maroon,Spring,4.9,Yes,Next Day Air,Yes,Yes,47,Credit Card,Weekly
1043,1044,28,Male,Jeans,Clothing,76,Hawaii,Green,Spring,3.3,Yes,2-Day Shipping,Yes,Yes,28,Debit Card,Fortnightly
1044,1045,39,Male,Jeans,Clothing,30,Oregon,Teal,Summer,4.4,Yes,Next Day Air,Yes,Yes,17,Bank Transfer,Every 3 Months
1045,1046,54,Male,Sweater,Clothing,79,New Mexico,Black,Fall,3.5,Yes,2-Day Shipping,Yes,Yes,11,PayPal,Bi-Weekly
1046,1047,40,Male,Sneakers,Footwear,22,Illinois,Magenta,Winter,4.2,Yes,Standard,Yes,Yes,12,Venmo,Annually
1047,1048,31,Male,Socks,Clothing,36,Utah,Olive,Fall,4.2,Yes,Standard,Yes,Yes,7,Credit Card,Fortnightly
1048,1049,30,Male,Socks,Clothing,77,Maine,Yellow,Fall,2.7,Yes,Standard,Yes,Yes,19,Venmo,Fortnightly
1049,1050,45,Male,Sunglasses,Accessories,33,Virginia,Purple,Fall,2.8,Yes,Store Pickup,Yes,Yes,24,Cash,Quarterly
1050,1051,48,Male,Sneakers,Footwear,64,Florida,Beige,Winter,3.8,Yes,Next Day Air,Yes,Yes,19,Venmo,Monthly
1051,1052,45,Male,Socks,Clothing,53,Ohio,Indigo,Fall,2.6,Yes,Free Shipping,Yes,Yes,39,PayPal,Annually
1052,1053,60,Male,Shoes,Footwear,36,Virginia,Pink,Fall,3,Yes,2-Day Shipping,Yes,Yes,1,Credit Card,Fortnightly
1053,1054,59,Male,Blouse,Clothing,70,Kansas,Blue,Spring,3.3,No,2-Day Shipping,Yes,Yes,10,Debit Card,Bi-Weekly
1054,1055,18,Male,Shorts,Clothing,96,Arkansas,Cyan,Winter,4.9,No,Express,Yes,Yes,48,PayPal,Quarterly
1055,1056,70,Male,Jacket,Outerwear,27,Massachusetts,Orange,Spring,3.3,No,Next Day Air,Yes,Yes,24,Debit Card,Annually
1056,1057,20,Male,Sweater,Clothing,64,Idaho,Black,Winter,2.9,No,2-Day Shipping,Yes,Yes,42,Venmo,Fortnightly
1057,1058,65,Male,Jacket,Outerwear,23,Wisconsin,Maroon,Spring,4.4,No,2-Day Shipping,Yes,Yes,20,Credit Card,Weekly
1058,1059,29,Male,Scarf,Accessories,33,New Mexico,Violet,Summer,3.1,No,Next Day Air,Yes,Yes,49,Bank Transfer,Every 3 Months
1059,1060,22,Male,Jacket,Outerwear,34,North Carolina,Beige,Winter,2.5,No,Standard,Yes,Yes,25,Debit Card,Monthly
1060,1061,27,Male,Sweater,Clothing,35,Iowa,Gray,Summer,2.6,No,Next Day Air,Yes,Yes,21,Debit Card,Every 3 Months
1061,1062,36,Male,Coat,Outerwear,62,Idaho,Gray,Summer,4.4,No,Free Shipping,Yes,Yes,12,Venmo,Every 3 Months
1062,1063,59,Male,Boots,Footwear,75,Ohio,Brown,Fall,2.6,No,Next Day Air,Yes,Yes,21,Debit Card,Every 3 Months
1063,1064,62,Male,Hoodie,Clothing,29,Alabama,Indigo,Summer,3.3,No,Free Shipping,Yes,Yes,35,Cash,Monthly
1064,1065,34,Male,Hat,Accessories,28,Wyoming,Violet,Spring,3.5,No,Express,Yes,Yes,42,Credit Card,Every 3 Months
1065,1066,59,Male,T-shirt,Clothing,20,Alabama,Blue,Spring,4.1,No,Store Pickup,Yes,Yes,3,PayPal,Every 3 Months
1066,1067,49,Male,Coat,Outerwear,96,Mississippi,Red,Winter,4,No,Store Pickup,Yes,Yes,11,PayPal,Bi-Weekly
1067,1068,18,Male,Dress,Clothing,43,Pennsylvania,Peach,Summer,2.7,No,2-Day Shipping,Yes,Yes,22,PayPal,Quarterly
1068,1069,55,Male,Shirt,Clothing,94,Wyoming,Olive,Fall,2.5,No,Standard,Yes,Yes,47,Credit Card,Weekly
1069,1070,38,Male,Skirt,Clothing,81,Maryland,White,Fall,4.3,No,Next Day Air,Yes,Yes,33,Venmo,Every 3 Months
1070,1071,50,Male,Jewelry,Accessories,75,North Carolina,Magenta,Summer,3.3,No,Free Shipping,Yes,Yes,50,Debit Card,Weekly
1071,1072,61,Male,Hat,Accessories,81,Pennsylvania,Beige,Summer,2.6,No,Express,Yes,Yes,46,Credit Card,Monthly
1072,1073,48,Male,Shorts,Clothing,92,Idaho,Gold,Fall,3.5,No,Express,Yes,Yes,34,Debit Card,Fortnightly
1073,1074,22,Male,Scarf,Accessories,96,California,Purple,Spring,4,No,Store Pickup,Yes,Yes,33,Credit Card,Monthly
1074,1075,48,Male,Jewelry,Accessories,71,Tennessee,White,Fall,2.6,No,Standard,Yes,Yes,45,Bank Transfer,Fortnightly
1075,1076,57,Male,Sunglasses,Accessories,50,Missouri,Indigo,Summer,4.9,No,Next Day Air,Yes,Yes,32,Debit Card,Bi-Weekly
1076,1077,33,Male,Coat,Outerwear,72,North Dakota,Charcoal,Spring,2.9,No,Standard,Yes,Yes,47,Venmo,Bi-Weekly
1077,1078,58,Male,Jacket,Outerwear,28,West Virginia,Pink,Winter,3.7,No,Standard,Yes,Yes,5,PayPal,Quarterly
1078,1079,37,Male,Sweater,Clothing,59,Arizona,Silver,Fall,4.4,No,Express,Yes,Yes,49,Credit Card,Fortnightly
1079,1080,18,Male,Coat,Outerwear,33,Oklahoma,Blue,Summer,4.4,No,Free Shipping,Yes,Yes,48,Bank Transfer,Monthly
1080,1081,65,Male,Scarf,Accessories,59,Pennsylvania,Blue,Fall,3.8,No,Express,Yes,Yes,22,Cash,Every 3 Months
1081,1082,62,Male,Belt,Accessories,30,Idaho,Brown,Spring,4.5,No,Standard,Yes,Yes,45,Credit Card,Annually
1082,1083,54,Male,Hat,Accessories,85,South Carolina,Cyan,Winter,2.6,No,Next Day Air,Yes,Yes,30,Venmo,Quarterly
1083,1084,35,Male,Backpack,Accessories,97,Washington,Teal,Summer,3.3,No,Store Pickup,Yes,Yes,43,Cash,Weekly
1084,1085,34,Male,T-shirt,Clothing,36,Arkansas,Purple,Fall,4.1,No,Next Day Air,Yes,Yes,48,Cash,Quarterly
1085,1086,25,Male,Jewelry,Accessories,85,Utah,Turquoise,Winter,3,No,Store Pickup,Yes,Yes,23,Venmo,Fortnightly
1086,1087,53,Male,Sunglasses,Accessories,62,Alaska,Olive,Winter,3,No,Free Shipping,Yes,Yes,27,PayPal,Bi-Weekly
1087,1088,45,Male,Jeans,Clothing,71,West Virginia,White,Winter,3.4,No,Next Day Air,Yes,Yes,7,Bank Transfer,Monthly
1088,1089,49,Male,Pants,Clothing,21,Louisiana,Turquoise,Winter,2.7,No,Free Shipping,Yes,Yes,2,PayPal,Weekly
1089,1090,40,Male,Backpack,Accessories,61,Arizona,Silver,Spring,3.8,No,Next Day Air,Yes,Yes,33,PayPal,Bi-Weekly
1090,1091,38,Male,Scarf,Accessories,58,Connecticut,Violet,Spring,4.2,No,Store Pickup,Yes,Yes,27,Cash,Fortnightly
1091,1092,44,Male,Sweater,Clothing,80,North Carolina,Lavender,Spring,4.7,No,Store Pickup,Yes,Yes,6,Credit Card,Fortnightly
1092,1093,68,Male,Jewelry,Accessories,50,South Dakota,Magenta,Spring,4.1,No,2-Day Shipping,Yes,Yes,20,Venmo,Quarterly
1093,1094,60,Male,Sneakers,Footwear,48,Delaware,Indigo,Winter,4.2,No,2-Day Shipping,Yes,Yes,46,Venmo,Every 3 Months
1094,1095,25,Male,Jewelry,Accessories,40,Connecticut,Black,Winter,4.8,No,Next Day Air,Yes,Yes,25,Cash,Quarterly
1095,1096,19,Male,Coat,Outerwear,34,Tennessee,Peach,Summer,3,No,Free Shipping,Yes,Yes,30,Bank Transfer,Quarterly
1096,1097,57,Male,Coat,Outerwear,46,New Hampshire,Beige,Fall,2.6,No,Standard,Yes,Yes,48,Credit Card,Annually
1097,1098,58,Male,Sunglasses,Accessories,27,Vermont,Black,Summer,3.2,No,Store Pickup,Yes,Yes,47,Bank Transfer,Weekly
1098,1099,49,Male,Handbag,Accessories,98,Idaho,Turquoise,Spring,3.6,No,Next Day Air,Yes,Yes,27,Credit Card,Weekly
1099,1100,19,Male,Sweater,Clothing,73,North Carolina,Peach,Fall,2.6,No,Next Day Air,Yes,Yes,45,Bank Transfer,Fortnightly
1100,1101,50,Male,Pants,Clothing,28,Nevada,Gold,Spring,4.4,No,Express,Yes,Yes,2,Credit Card,Weekly
1101,1102,30,Male,Gloves,Accessories,76,Delaware,Silver,Fall,3,No,Free Shipping,Yes,Yes,39,Cash,Fortnightly
1102,1103,52,Male,Sweater,Clothing,83,Texas,Peach,Fall,2.9,No,Express,Yes,Yes,24,Cash,Fortnightly
1103,1104,35,Male,Hoodie,Clothing,23,Tennessee,Charcoal,Spring,4.3,No,Free Shipping,Yes,Yes,8,Debit Card,Bi-Weekly
1104,1105,35,Male,Hat,Accessories,28,Delaware,Beige,Fall,3.1,No,Express,Yes,Yes,8,Bank Transfer,Quarterly
1105,1106,33,Male,T-shirt,Clothing,83,Massachusetts,Olive,Spring,3,No,Next Day Air,Yes,Yes,6,Venmo,Every 3 Months
1106,1107,52,Male,Skirt,Clothing,96,Minnesota,Violet,Winter,3.6,No,Store Pickup,Yes,Yes,12,Venmo,Fortnightly
1107,1108,69,Male,Sneakers,Footwear,62,Texas,Peach,Fall,2.8,No,Store Pickup,Yes,Yes,26,Bank Transfer,Weekly
1108,1109,27,Male,Shorts,Clothing,25,Nebraska,Teal,Fall,2.8,No,Standard,Yes,Yes,50,Cash,Fortnightly
1109,1110,66,Male,Hoodie,Clothing,97,Oklahoma,Violet,Winter,4.9,No,Next Day Air,Yes,Yes,2,Venmo,Weekly
1110,1111,28,Male,Hoodie,Clothing,61,Texas,Cyan,Fall,3,No,Standard,Yes,Yes,31,Cash,Bi-Weekly
1111,1112,22,Male,Shoes,Footwear,66,New York,Olive,Summer,4.1,No,Next Day Air,Yes,Yes,4,Credit Card,Bi-Weekly
1112,1113,69,Male,Hoodie,Clothing,67,Washington,Pink,Spring,4.6,No,Free Shipping,Yes,Yes,32,PayPal,Quarterly
1113,1114,28,Male,Sunglasses,Accessories,80,Maryland,Purple,Summer,4.8,No,Next Day Air,Yes,Yes,11,PayPal,Bi-Weekly
1114,1115,55,Male,Skirt,Clothing,25,New Hampshire,Violet,Fall,2.6,No,Next Day Air,Yes,Yes,47,Bank Transfer,Every 3 Months
1115,1116,30,Male,Hat,Accessories,58,New York,Peach,Fall,4,No,2-Day Shipping,Yes,Yes,37,Cash,Weekly
1116,1117,67,Male,Backpack,Accessories,96,Hawaii,Charcoal,Winter,4.2,No,Express,Yes,Yes,39,PayPal,Fortnightly
1117,1118,25,Male,Sunglasses,Accessories,77,California,Lavender,Spring,4.5,No,Store Pickup,Yes,Yes,24,Credit Card,Monthly
1118,1119,49,Male,Belt,Accessories,65,Indiana,Purple,Summer,4.9,No,Standard,Yes,Yes,11,PayPal,Every 3 Months
1119,1120,34,Male,Jewelry,Accessories,36,Louisiana,Indigo,Spring,3.1,No,Standard,Yes,Yes,36,Credit Card,Weekly
1120,1121,22,Male,Sneakers,Footwear,84,Pennsylvania,Magenta,Winter,4,No,Next Day Air,Yes,Yes,40,Debit Card,Monthly
1121,1122,63,Male,T-shirt,Clothing,58,Florida,Peach,Fall,3.2,No,Express,Yes,Yes,25,Cash,Quarterly
1122,1123,70,Male,Handbag,Accessories,62,North Carolina,Charcoal,Spring,4.3,No,2-Day Shipping,Yes,Yes,12,Credit Card,Annually
1123,1124,36,Male,Hat,Accessories,67,Massachusetts,Purple,Fall,2.5,No,Store Pickup,Yes,Yes,38,Cash,Monthly
1124,1125,42,Male,Sweater,Clothing,20,Iowa,Orange,Spring,4.9,No,Express,Yes,Yes,40,Cash,Quarterly
1125,1126,27,Male,Sandals,Footwear,90,North Dakota,Lavender,Summer,2.7,No,2-Day Shipping,Yes,Yes,10,Bank Transfer,Weekly
1126,1127,23,Male,Scarf,Accessories,58,Iowa,Beige,Winter,3.4,No,Standard,Yes,Yes,47,Venmo,Fortnightly
1127,1128,50,Male,Shirt,Clothing,53,Delaware,Maroon,Spring,4.8,No,Store Pickup,Yes,Yes,22,Debit Card,Monthly
1128,1129,56,Male,Gloves,Accessories,30,New York,Charcoal,Winter,4.7,No,Next Day Air,Yes,Yes,35,Debit Card,Monthly
1129,1130,37,Male,Hoodie,Clothing,65,New Hampshire,White,Winter,4.7,No,Express,Yes,Yes,46,Venmo,Fortnightly
1130,1131,67,Male,Jewelry,Accessories,41,Kentucky,Lavender,Summer,3.9,No,Standard,Yes,Yes,30,PayPal,Bi-Weekly
1131,1132,67,Male,Shirt,Clothing,73,Illinois,Black,Spring,3.7,No,Express,Yes,Yes,20,Bank Transfer,Monthly
1132,1133,50,Male,Hoodie,Clothing,98,North Carolina,Teal,Spring,4.3,No,Store Pickup,Yes,Yes,25,Cash,Fortnightly
1133,1134,36,Male,Shoes,Footwear,36,Connecticut,Magenta,Winter,4.1,No,2-Day Shipping,Yes,Yes,29,Cash,Weekly
1134,1135,62,Male,T-shirt,Clothing,81,Wisconsin,Brown,Summer,4.6,No,Express,Yes,Yes,2,Venmo,Every 3 Months
1135,1136,65,Male,Skirt,Clothing,90,Massachusetts,Peach,Winter,3.6,No,2-Day Shipping,Yes,Yes,32,Bank Transfer,Quarterly
1136,1137,23,Male,Handbag,Accessories,83,Illinois,Cyan,Summer,4.8,No,Free Shipping,Yes,Yes,37,Cash,Monthly
1137,1138,46,Male,Shirt,Clothing,91,New Mexico,Pink,Winter,2.8,No,2-Day Shipping,Yes,Yes,16,Bank Transfer,Every 3 Months
1138,1139,18,Male,Pants,Clothing,36,Iowa,Purple,Summer,4.7,No,Express,Yes,Yes,32,Venmo,Fortnightly
1139,1140,58,Male,Coat,Outerwear,53,Alabama,Purple,Spring,3.9,No,Standard,Yes,Yes,42,Debit Card,Bi-Weekly
1140,1141,31,Male,Jeans,Clothing,39,Maryland,White,Winter,2.6,No,Store Pickup,Yes,Yes,6,Credit Card,Every 3 Months
1141,1142,39,Male,Gloves,Accessories,33,Ohio,Silver,Winter,4.7,No,Next Day Air,Yes,Yes,23,PayPal,Fortnightly
1142,1143,69,Male,T-shirt,Clothing,76,Ohio,Green,Spring,3.5,No,Store Pickup,Yes,Yes,27,Venmo,Bi-Weekly
1143,1144,68,Male,Boots,Footwear,23,Nevada,Teal,Winter,4.4,No,Standard,Yes,Yes,43,PayPal,Quarterly
1144,1145,41,Male,Jeans,Clothing,54,South Carolina,Indigo,Fall,4.4,No,2-Day Shipping,Yes,Yes,25,Bank Transfer,Fortnightly
1145,1146,31,Male,Sneakers,Footwear,89,Nevada,Pink,Summer,3,No,Express,Yes,Yes,30,Cash,Every 3 Months
1146,1147,48,Male,Sneakers,Footwear,38,Wisconsin,Indigo,Summer,4.2,No,Standard,Yes,Yes,7,Bank Transfer,Every 3 Months
1147,1148,59,Male,Hat,Accessories,36,Tennessee,Red,Winter,4.3,No,Next Day Air,Yes,Yes,17,Debit Card,Annually
1148,1149,34,Male,Pants,Clothing,66,Florida,Violet,Spring,2.6,No,Store Pickup,Yes,Yes,10,PayPal,Fortnightly
1149,1150,21,Male,Jewelry,Accessories,42,Georgia,Cyan,Spring,3.3,No,Store Pickup,Yes,Yes,40,Venmo,Annually
1150,1151,29,Male,Jewelry,Accessories,36,Kentucky,Red,Winter,2.7,No,Next Day Air,Yes,Yes,50,Venmo,Bi-Weekly
1151,1152,41,Male,Blouse,Clothing,86,Ohio,Gray,Spring,4.2,No,Express,Yes,Yes,24,Credit Card,Weekly
1152,1153,62,Male,Handbag,Accessories,49,Connecticut,Gold,Fall,4,No,Standard,Yes,Yes,8,PayPal,Every 3 Months
1153,1154,27,Male,Shirt,Clothing,41,Idaho,Pink,Summer,4,No,Free Shipping,Yes,Yes,6,Bank Transfer,Quarterly
1154,1155,49,Male,Dress,Clothing,82,Georgia,Cyan,Spring,2.9,No,2-Day Shipping,Yes,Yes,44,Credit Card,Bi-Weekly
1155,1156,67,Male,T-shirt,Clothing,53,Tennessee,Red,Fall,2.6,No,Express,Yes,Yes,47,PayPal,Quarterly
1156,1157,20,Male,Shoes,Footwear,21,Hawaii,Gold,Summer,4.8,No,Express,Yes,Yes,6,Venmo,Every 3 Months
1157,1158,37,Male,Belt,Accessories,66,Maryland,Charcoal,Fall,4.4,No,Standard,Yes,Yes,11,Cash,Quarterly
1158,1159,69,Male,Belt,Accessories,89,Nevada,Orange,Summer,4,No,2-Day Shipping,Yes,Yes,41,Bank Transfer,Annually
1159,1160,66,Male,Handbag,Accessories,55,New Hampshire,Blue,Fall,3.6,No,2-Day Shipping,Yes,Yes,46,Venmo,Every 3 Months
1160,1161,37,Male,Scarf,Accessories,42,North Dakota,Blue,Summer,3.2,No,Next Day Air,Yes,Yes,9,Venmo,Bi-Weekly
1161,1162,63,Male,Shorts,Clothing,52,Oklahoma,Orange,Fall,3.1,No,2-Day Shipping,Yes,Yes,37,PayPal,Monthly
1162,1163,47,Male,Sandals,Footwear,92,North Carolina,Blue,Winter,4.2,No,Express,Yes,Yes,13,PayPal,Weekly
1163,1164,26,Male,Pants,Clothing,56,Tennessee,White,Summer,3,No,2-Day Shipping,Yes,Yes,24,Debit Card,Monthly
1164,1165,68,Male,Dress,Clothing,96,Montana,Green,Winter,4.2,No,Standard,Yes,Yes,47,PayPal,Quarterly
1165,1166,51,Male,T-shirt,Clothing,64,Wisconsin,Silver,Winter,2.9,No,Next Day Air,Yes,Yes,21,Venmo,Every 3 Months
1166,1167,48,Male,Dress,Clothing,48,Connecticut,Lavender,Winter,3.7,No,Store Pickup,Yes,Yes,22,Venmo,Fortnightly
1167,1168,60,Male,Socks,Clothing,83,New Jersey,Beige,Summer,3.6,No,Free Shipping,Yes,Yes,16,PayPal,Quarterly
1168,1169,68,Male,Scarf,Accessories,91,Mississippi,Violet,Summer,3.6,No,Standard,Yes,Yes,37,Debit Card,Fortnightly
1169,1170,25,Male,Backpack,Accessories,94,Wyoming,Gray,Fall,4.5,No,2-Day Shipping,Yes,Yes,3,Cash,Annually
1170,1171,57,Male,Skirt,Clothing,62,Illinois,Red,Spring,3.2,No,Express,Yes,Yes,33,Cash,Bi-Weekly
1171,1172,41,Male,Socks,Clothing,55,Louisiana,Lavender,Spring,3.9,No,Next Day Air,Yes,Yes,15,Debit Card,Annually
1172,1173,59,Male,Coat,Outerwear,68,Oregon,Peach,Spring,4.6,No,Store Pickup,Yes,Yes,42,Bank Transfer,Bi-Weekly
1173,1174,44,Male,Jewelry,Accessories,76,South Dakota,Indigo,Winter,2.5,No,Express,Yes,Yes,42,Cash,Bi-Weekly
1174,1175,42,Male,Backpack,Accessories,31,Michigan,Black,Winter,4.3,No,Express,Yes,Yes,19,Bank Transfer,Bi-Weekly
1175,1176,35,Male,Belt,Accessories,81,New Jersey,Beige,Spring,4.1,No,Store Pickup,Yes,Yes,26,PayPal,Quarterly
1176,1177,36,Male,Dress,Clothing,83,Oregon,Red,Winter,4.6,No,Free Shipping,Yes,Yes,39,PayPal,Quarterly
1177,1178,54,Male,Skirt,Clothing,21,Iowa,Black,Spring,4.8,No,Standard,Yes,Yes,24,Debit Card,Monthly
1178,1179,37,Male,Dress,Clothing,22,South Carolina,Teal,Spring,4.9,No,Express,Yes,Yes,23,Debit Card,Annually
1179,1180,20,Male,T-shirt,Clothing,33,Indiana,Blue,Summer,2.8,No,Free Shipping,Yes,Yes,44,Bank Transfer,Annually
1180,1181,23,Male,Skirt,Clothing,23,Oregon,Beige,Spring,4.9,No,Standard,Yes,Yes,34,Cash,Monthly
1181,1182,61,Male,Shorts,Clothing,96,New York,Teal,Summer,3.5,No,Free Shipping,Yes,Yes,43,Bank Transfer,Quarterly
1182,1183,37,Male,Jewelry,Accessories,21,New Mexico,Maroon,Spring,3.8,No,Express,Yes,Yes,45,PayPal,Quarterly
1183,1184,23,Male,Pants,Clothing,39,Louisiana,Yellow,Spring,4.5,No,2-Day Shipping,Yes,Yes,4,Credit Card,Weekly
1184,1185,63,Male,Belt,Accessories,73,South Carolina,Indigo,Fall,3.4,No,Express,Yes,Yes,19,Credit Card,Annually
1185,1186,47,Male,Jeans,Clothing,64,Maine,Magenta,Spring,3.9,No,Standard,Yes,Yes,29,Credit Card,Monthly
1186,1187,63,Male,Jeans,Clothing,68,Indiana,Beige,Summer,4.1,No,2-Day Shipping,Yes,Yes,27,Credit Card,Annually
1187,1188,56,Male,Hat,Accessories,89,Iowa,Maroon,Fall,3,No,Express,Yes,Yes,37,Credit Card,Every 3 Months
1188,1189,68,Male,Blouse,Clothing,29,Mississippi,Magenta,Summer,3.3,No,Next Day Air,Yes,Yes,11,Credit Card,Weekly
1189,1190,64,Male,Shirt,Clothing,97,Arkansas,Teal,Summer,4.9,No,Free Shipping,Yes,Yes,28,Debit Card,Annually
1190,1191,62,Male,Shirt,Clothing,45,South Carolina,Orange,Winter,4.3,No,Next Day Air,Yes,Yes,31,Credit Card,Weekly
